name;category;city;address;street;house_number;house
seventh regiment mess and bar;american;new york;643 park ave. at 66th st.;park ave. at 66th st.;643;
sfuzzi;american;new york;58 w. 65th st.;w. 65th st.;58;
shaan;asian;new york;57 w. 48th st.;w. 48th st.;57;
sofia fabulous pizza;italian;new york;1022 madison ave.  near 79th st.;madison ave. near 79th st.;1022;
spring street natural restaurant & bar;american;new york;62 spring st. at lafayette st.;spring st. at lafayette st.;62;
stage deli;delicatessen;new york;834 7th ave.  between 53rd and 54th sts.;7th ave. between 53rd and 54th sts.;834;
stingray;seafood;new york;428 amsterdam ave.  between 80th and 81st sts.;amsterdam ave. between 80th and 81st sts.;428;
sweet\n\'tart cafe';asian;new york;76 mott st. at canal st.;mott st. at canal st.;76;
t salon;coffee bar;new york;143 mercer st. at prince st.;mercer st. at prince st.;143;
tang pavillion;asian;new york;65 w. 55th st.;w. 55th st.;65;
tapika;american;new york;950 8th ave. at 56th st.;8th ave. at 56th st.;950;
teresa\s';east european;new york;103 1st ave.  between 6th and 7th sts.;1st ave. between 6th and 7th sts.;103;
terrace;continental;new york;400 w. 119th st.  between amsterdam and morningside aves.;w. 119th st. between amsterdam and morningside aves.;400;
the coffee pot;coffee bar;new york;350 9th ave. at 49th st.;9th ave. at 49th st.;350;
the savannah club;american;new york;2420 broadway at 89th st.;broadway at 89th st.;2420;
trattoria dell\arte';italian;new york;900 7th ave.  between 56th and 57th sts.;7th ave. between 56th and 57th sts.;900;
triangolo;italian;new york;345 e. 83rd st.;e. 83rd st.;345;
tribeca grill;american;new york;375 greenwich st.  near franklin st.;greenwich st. near franklin st.;375;
trois jean;coffee bar;new york;154 e. 79th st.  between lexington and 3rd aves.;e. 79th st. between lexington and 3rd aves.;154;
tse yang;asian;new york;34 e. 51st st.;e. 51st st.;34;
turkish kitchen;middle eastern;new york;386 3rd ave.  between 27th and 28th sts.;3rd ave. between 27th and 28th sts.;386;
two two two;american;new york;222 w. 79th st.;w. 79th st.;222;
veniero\s pasticceria';coffee bar;new york;342 e. 11th st.  near 1st ave.;e. 11th st. near 1st ave.;342;
verbena;american;new york;54 irving pl. at 17th st.;irving pl. at 17th st.;54;
victor\s cafe';latin american;new york;52 236 w. 52nd st.;236 w. 52nd st.;52;
vince & eddie\s';american;new york;70 w. 68th st.;w. 68th st.;70;
vong;american;new york;200 e. 54th st.;e. 54th st.;200;
water club;american;new york;500 e. 30th st.;e. 30th st.;500;
west;american;new york;63rd street steakhouse 44 w. 63rd st.;w. 63rd st.;44;63rd street steakhouse
xunta;mediterranean;new york;174 1st ave.  between 10th and 11th sts.;1st ave. between 10th and 11th sts.;174;
zen palate;and 212/614-9345 asian;new york;34 union sq. e at 16th st.;union sq. e at 16th st.;34;
zoe;american;new york;90 prince st.  between broadway and mercer st.;prince st. between broadway and mercer st.;90;
abbey;international;atlanta;163 ponce de leon ave.;ponce de leon ave.;163;
aleck\s barbecue heaven';barbecue;atlanta;783 martin luther king jr. dr.;martin luther king jr. dr.;783;
annie\s thai castle';asian;atlanta;3195 roswell road;roswell road;3195;
anthonys;american;atlanta;3109 piedmont road just south of peachtree road;piedmont road just south of peachtree road;3109;
atlanta fish market;american;atlanta;265 pharr road;pharr road;265;
beesley\s of buckhead';continental;atlanta;260 e. paces ferry road;e. paces ferry road;260;
bertolini\s';italian;atlanta;3500 peachtree road phipps plaza;peachtree road phipps plaza;3500;
bistango;mediterranean;atlanta;1100 peachtree st.;peachtree st.;1100;
cafe renaissance;american;atlanta;7050 jimmy carter boulevard norcross;jimmy carter boulevard norcross;7050;
camille\s';italian;atlanta;1186 n. highland ave.;n. highland ave.;1186;
cassis;mediterranean;atlanta;3300 peachtree road grand hyatt;peachtree road grand hyatt;3300;
city grill;international;atlanta;50 hurt plaza;;;50 hurt plaza
coco loco;caribbean;atlanta;40  buckhead crossing mall on the sidney marcus blvd.;marcus blvd.;40;buckhead crossing mall on the sidney
colonnade restaurant;southern;atlanta;1879 cheshire bridge road;cheshire bridge road;1879;
dante\s down the hatch  buckhead';continental;atlanta;3380 peachtree road;peachtree road;3380;
dante\s down the hatch';continental;atlanta;underground underground mall underground atlanta;;;underground underground mall underground
fat matt\s rib shack';barbecue;atlanta;1811 piedmont avenue near cheshire bridge road;piedmont avenue near cheshire bridge road;1811;
french quarter food shop;southern;atlanta;923 peachtree st.  at 8th st.;peachtree st. at 8th st.;923;
holt bros. bar-b-q;barbecue;atlanta;6359 jimmy carter boulevard at buford highway norcross;jimmy carter boulevard at buford highway;6359;
horseradish grill;southern;atlanta;4320 powers ferry road;powers ferry road;4320;
hsu\s gourmet';asian;atlanta;192 peachtree center avenue at international boulevard;peachtree center avenue at international boulevard;192;
imperial fez;mediterranean;atlanta;2285 peachtree road peachtree battle condominium;peachtree road peachtree battle condominium;2285;
kamogawa;asian;atlanta;3300 peachtree road grand hyatt;peachtree road grand hyatt;3300;
la grotta at ravinia dunwoody rd.;italian;atlanta;holiday inn crowne plaza at ravinia dunwoody;;;holiday inn crowne plaza at ravinia dunwoody
little szechuan;asian;atlanta;c buford hwy.  northwoods plaza  doraville;c buford hwy. northwoods plaza;;
lowcountry barbecue;barbecue;atlanta;6301 roswell road sandy springs plaza sandy springs;roswell road;6301;springs plaza sandy springs
luna si;continental;atlanta;1931 peachtree road;peachtree road;1931;
mambo restaurante cubano;caribbean;atlanta;1402 n. highland ave.;n. highland ave.;1402;
mckinnon\s louisiane';southern;atlanta;3209 maple dr.;maple dr.;3209;
mi spia dunwoody rd.;italian;atlanta;park place across from perimeter mall dunwoody;park place across from perimeter mall;;
nickiemoto\s: a sushi bar';fusion;atlanta;247 buckhead avenue east village square;buckhead avenue east village square;247;
palisades;continental;atlanta;1829 peachtree road;peachtree road;1829;
pleasant peasant;american;atlanta;555 peachtree st.  at linden ave.;peachtree st. at linden ave.;555;
pricci;italian;atlanta;500 pharr road;pharr road;500;
r.j.\s uptown kitchen & wine bar';american;atlanta;870 n. highland ave.;n. highland ave.;870;
rib ranch;barbecue;atlanta;25 irby avenue;irby avenue;25;
sa tsu ki;asian;atlanta;3043 buford highway;buford highway;3043;
sato sushi and thai;asian;atlanta;6050 peachtree parkway norcross;peachtree parkway;6050;
south city kitchen;southern;atlanta;1144 crescent avenue;crescent avenue;1144;
south of france;french;atlanta;2345 cheshire bridge road;cheshire bridge road;2345;
stringer\s fish camp and oyster bar';southern;atlanta;3384 shallowford road chamblee;shallowford road;3384;
sundown cafe;american;atlanta;2165 cheshire bridge road;cheshire bridge road;2165;
taste of new orleans;southern;atlanta;889 w. peachtree st.;w. peachtree st.;889;
tomtom;continental;atlanta;3393 peachtree road;peachtree road;3393;
antonio\s';italian;las vegas;3700 w. flamingo;w. flamingo;3700;
bally\s big kitchen';buffets;las vegas;3645 las vegas blvd. s;las vegas blvd. s;3645;
bamboo garden;asian;las vegas;4850 flamingo road;flamingo road;4850;
battista\s hole in the wall';italian;las vegas;4041 audrie st. at flamingo rd.;audrie st. at flamingo rd.;4041;
bertolini\s';italian;las vegas;3570 las vegas blvd. s;las vegas blvd. s;3570;
binion\s coffee shop';coffee shops/diners;las vegas;128 fremont st.;fremont st.;128;
bistro;continental;las vegas;3400 las vegas blvd. s;las vegas blvd. s;3400;
broiler;american;las vegas;4111 boulder highway;boulder highway;4111;
bugsy\s diner';coffee shops/diners;las vegas;3555 las vegas blvd. s;las vegas blvd. s;3555;
cafe michelle;american;las vegas;1350 e. flamingo rd.;e. flamingo rd.;1350;
cafe roma;coffee shops/diners;las vegas;3570 las vegas blvd. s;las vegas blvd. s;3570;
capozzoli\s';italian;las vegas;3333 s. maryland pkwy.;s. maryland pkwy.;3333;
carnival world;buffets;las vegas;3700 w. flamingo rd.;w. flamingo rd.;3700;
center stage plaza hotel;american;las vegas;1 main st.;main st.;1;
circus circus;buffets;las vegas;2880 las vegas blvd. s;las vegas blvd. s;2880;
empress court;asian;las vegas;3570 las vegas blvd. s;las vegas blvd. s;3570;
feast;buffets;las vegas;2411 w. sahara ave.;w. sahara ave.;2411;
golden nugget hotel;buffets;las vegas;129 e. fremont st.;e. fremont st.;129;
golden steer;steak houses;las vegas;308 w. sahara ave.;w. sahara ave.;308;
lillie langtry\s';asian;las vegas;129 e. fremont st.;e. fremont st.;129;
mandarin court;asian;las vegas;1510 e. flamingo rd.;e. flamingo rd.;1510;
margarita\s mexican cantina';mexican;las vegas;3120 las vegas blvd. s;las vegas blvd. s;3120;
mary\s diner';coffee shops/diners;las vegas;5111 w. boulder hwy.;w. boulder hwy.;5111;
mikado;asian;las vegas;3400 las vegas blvd. s;las vegas blvd. s;3400;
pamplemousse;continental;las vegas;400 e. sahara ave.;e. sahara ave.;400;
ralph\s diner';coffee shops/diners;las vegas;3000 las vegas blvd. s;las vegas blvd. s;3000;
the bacchanal;only in las vegas;las vegas;3570 las vegas blvd. s;las vegas blvd. s;3570;
venetian;italian;las vegas;3713 w. sahara ave.;w. sahara ave.;3713;
viva mercado\s';mexican;las vegas;6182 w. flamingo rd.;w. flamingo rd.;6182;
yolie\s';steak houses;las vegas;3900 paradise road;paradise road;3900;
2223;american;san francisco;2223 market st.;market st.;2223;
acquarello;italian;san francisco;1722 sacramento st.;sacramento st.;1722;
bardelli\s';old san francisco;san francisco;243 o\farrell st.';o\farrell st.';243;
betelnut;asian;san francisco;2030 union st.;union st.;2030;
bistro roti;french;san francisco;155 steuart st.;steuart st.;155;
bix;american;san francisco;56 gold st.;gold st.;56;
bizou;french;san francisco;598 fourth st.;fourth st.;598;
buca giovanni;italian;san francisco;800 greenwich st.;greenwich st.;800;
cafe adriano;italian;san francisco;3347 fillmore st.;fillmore st.;3347;
cafe marimba;mexican/latin american/spanish;san francisco;2317 chestnut st.;chestnut st.;2317;
california culinary academy;french;san francisco;625 polk st.;polk st.;625;
capp\s corner';italian;san francisco;1600 powell st.;powell st.;1600;
carta;american;san francisco;1772 market st.;market st.;1772;
chevys;mexican/latin american/spanish;san francisco;4th and howard sts.;4th and howard sts.;;
cypress club;american;san francisco;500 jackson st.;jackson st.;500;
des alpes;french;san francisco;732 broadway;broadway;732;
faz;greek and middle eastern;san francisco;161 sutter st.;sutter st.;161;
fog city diner;american;san francisco;1300 battery st.;battery st.;1300;
garden court;old san francisco;san francisco;market and new montgomery streets;;;market and new montgomery streets
gaylord\s';asian;san francisco;ghirardelli square;ghirardelli square;;
grand cafe hotel monaco;american;san francisco;501 geary st.;geary st.;501;
greens;vegetarian;san francisco;building a fort mason;fort mason;;building a
harbor village;asian;san francisco;4 embarcadero center;embarcadero center;4;
harris\',2100 van ness ave.';476;415/673-1888;san francisco;;;
harry denton\s';american;san francisco;161 steuart st.;steuart st.;161;
hayes street grill;seafood;san francisco;320 hayes st.;hayes st.;320;
helmand;greek and middle eastern;san francisco;430 broadway;broadway;430;
hong kong flower lounge;asian;san francisco;5322 geary boulevard;geary boulevard;5322;
hong kong villa;asian;san francisco;2332 clement st.;clement st.;2332;
hyde street bistro;italian;san francisco;1521 hyde st.;hyde st.;1521;
il fornaio levi\s plaza';italian;san francisco;1265 battery st.;battery st.;1265;
izzy\s steak & chop house';steak houses;san francisco;3345 steiner st.;steiner st.;3345;
jack\s';old san francisco;san francisco;615 sacramento st.;sacramento st.;615;
kabuto sushi;asian;san francisco;5116 geary boulevard;geary boulevard;5116;
katia\s';;san francisco;600 5th ave.;5th ave.;600;
kuleto\s';italian;san francisco;221 powell st.;powell st.;221;
kyo-ya. sheraton palace hotel;asian;san francisco;2 new montgomery st.  at market st.;new montgomery st. at market st.;2;
l\osteria del forno';italian;san francisco;519 columbus avenue;columbus avenue;519;
le central;french;san francisco;453 bush st.;bush st.;453;
le soleil;asian;san francisco;133 clement st.;clement st.;133;
macarthur park;american;san francisco;607 front st.;front st.;607;
manora;asian;san francisco;3226 mission st.;mission st.;3226;
maykadeh;greek and middle eastern;san francisco;470 green st.;green st.;470;
mccormick & kuleto\s';seafood;san francisco;ghirardelli square;ghirardelli square;;
millennium;vegetarian;san francisco;246 mcallister st.;mcallister st.;246;
moose\s';mediterranean;san francisco;1652 stockton st.;stockton st.;1652;
north india;asian;san francisco;3131 webster st.;webster st.;3131;
one market;american;san francisco;1 market st.;market st.;1;
oritalia;italian;san francisco;1915 fillmore st.;fillmore st.;1915;
pacific pan pacific hotel;french;san francisco;500 post st.;post st.;500;
palio d\asti';italian;san francisco;640 sacramento st.;sacramento st.;640;
pane e vino;italian;san francisco;3011 steiner st.;steiner st.;3011;
pastis;french;san francisco;1015 battery st.;battery st.;1015;
perry\s';american;san francisco;1944 union st.;union st.;1944;
r&g lounge;or 415/982-3811 asian;san francisco;631 b kearny st.;kearny st.;631 b;
rubicon;american;san francisco;558 sacramento st.;sacramento st.;558;
rumpus;american;san francisco;1 tillman pl.;tillman pl.;1;
sanppo;asian;san francisco;1702 post st.;post st.;1702;
scala\s bistro';italian;san francisco;432 powell st.;powell st.;432;
south park cafe;french;san francisco;108 south park;south park;108;
splendido embarcadero;mediterranean;san francisco;4;;;
stars;american;san francisco;150 redwood alley;redwood alley;150;
stars cafe;american;san francisco;500 van ness avenue;van ness avenue;500;
stoyanof\s cafe';greek and middle eastern;san francisco;1240 9th ave.;9th ave.;1240;
straits cafe;asian;san francisco;3300 geary boulevard;geary boulevard;3300;
suppenkuche;russian/german;san francisco;601 hayes st.;hayes st.;601;
tadich grill;seafood;san francisco;240 california st.;california st.;240;
the heights;french;san francisco;3235 sacramento st.;sacramento st.;3235;
thepin;asian;san francisco;298 gough st.;gough st.;298;
ton kiang;asian;san francisco;3148 geary boulevard;geary boulevard;3148;
vertigo;mediterranean;san francisco;600 montgomery st.;montgomery st.;600;
vivande porta via;italian;san francisco;2125 fillmore st.;fillmore st.;2125;
vivande ristorante;italian;san francisco;670 golden gate avenue;golden gate avenue;670;
world wrapps;american;san francisco;2257 chestnut st.;chestnut st.;2257;
wu kong;asian;san francisco;101 spear st.;spear st.;101;
yank sing;asian;san francisco;427 battery st.;battery st.;427;
yaya cuisine;greek and middle eastern;san francisco;1220 9th ave.;9th ave.;1220;
yoyo tsumami bistro;french;san francisco;1611 post st.;post st.;1611;
zarzuela;mexican/latin american/spanish;san francisco;2000 hyde st.;hyde st.;2000;
zuni cafe & grill;mediterranean;san francisco;1658 market st.;market st.;1658;
apple pan  the;american;west la;10801 w. pico blvd.;w. pico blvd.;10801;
asahi ramen;noodle shops;west la;2027 sawtelle boulevard;sawtelle boulevard;2027;
baja fresh;mexican;westlake village;3345 kimber dr.;kimber dr.;3345;
belvedere  the;pacific new wave;beverly hills;9882 little santa monica boulevard;little santa monica boulevard;9882;
benita\s frites';fast food;santa monica;1433 third st. promenade;third st. promenade;1433;
bernard\s';continental;los angeles;515 s. olive st.;s. olive st.;515;
bistro 45;californian;pasadena;45 s. mentor ave.;s. mentor ave.;45;
brent\s deli';delis;northridge;19565 parthenia avenue;parthenia avenue;19565;
brighton coffee shop;coffee shops;beverly hills;9600 brighton way;brighton way;9600;
bristol farms market cafe;californian;pasadena;1570 rosecrans ave. s.;rosecrans ave. s.;1570;
bruno\s';italian;mar vista;3838 centinela avenue;centinela avenue;3838;
cafe \50s';american;venice;838 lincoln boulevard;lincoln boulevard;838;
cafe blanc;pacific new wave;beverly hills;9777 little santa monica boulevard;little santa monica boulevard;9777;
cassell\s';hamburgers;la;3266 w. sixth st.;w. sixth st.;3266;
chez melange;eclectic;redondo beach;1716 pch;pch;1716;
diaghilev;russian;w. hollywood;1020 n. san vicente blvd.;n. san vicente blvd.;1020;
don antonio\s';italian;westwood;1136 westwood boulevard;westwood boulevard;1136;
duke\s';coffee shops;w. hollywood;8909 sunset boulevard;sunset boulevard;8909;
falafel king;middle eastern;westwood;1059 broxton avenue;broxton avenue;1059;
feast from the east;chinese;west la;1949 westwood boulevard;westwood boulevard;1949;
gumbo pot  the;cajun/creole;la;6333 w. third st.;w. third st.;6333;
hollywood hills coffee shop;coffee shops;hollywood;6145 franklin avenue;franklin avenue;6145;
indo cafe;indonesian;la;10428 1 2 national boulevard;national boulevard;2;
jan\s family restaurant';coffee shops;la;8424 beverly boulevard;beverly boulevard;8424;
jiraffe;californian;santa monica;502 santa monica boulevard;santa monica boulevard;502;
jody maroni\s sausage kingdom';hot dogs;venice;2011 ocean front walk;ocean front walk;2011;
joe\s';american (new);venice;1023 abbot kinney boulevard;abbot kinney boulevard;1023;
john o\groats';coffee shops;west la;10516 w. pico blvd.;w. pico blvd.;10516;
johnnie\s pastrami';delis;culver city;4017 s. sepulveda blvd.;s. sepulveda blvd.;4017;
johnny reb\s southern smokehouse';southern/soul;long beach;4663 long beach boulevard;long beach boulevard;4663;
johnny rockets (la);american;la;7507 melrose avenue;melrose avenue;7507;
killer shrimp;seafood;studio city;4000 colfax avenue;colfax avenue;4000;
kokomo cafe;american;la;6333 w. third st.;w. third st.;6333;
koo koo roo;chicken;la;8393 w. beverly blvd.;w. beverly blvd.;8393;
la cachette;french (new);century city;10506 little santa monica boulevard;little santa monica boulevard;10506;
la salsa (la);mexican;malibu;22800 pch;pch;22800;
la serenata de garibaldi;mexican/tex-mex;st. boyle hts.;1842 e. first;e. first;1842;
langer\s';delis;la;704 s. alvarado st.;s. alvarado st.;704;
local nochol;health food;westlake village;30869 1000 oaks boulevard;1000 oaks boulevard;30869;
main course  the;american;rancho park;10509 w. pico blvd.;w. pico blvd.;10509;
mani\s bakery & espresso bar';desserts;la;519 s. fairfax ave.;s. fairfax ave.;519;
martha\s';american;st. hermosa beach;22nd street grill 25 22nd;22nd;25;22nd street grill
maxwell\s cafe';american;marina del rey;13329 washington boulevard;washington boulevard;13329;
michael\s (los angeles)';californian;santa monica;1147 third st.;third st.;1147;
mishima;noodle shops;la;8474 w. third st.;w. third st.;8474;
mo better meatty meat;hamburgers;la;7261 melrose avenue;melrose avenue;7261;
mulberry st.;pizza;encino;17040 ventura boulevard;ventura boulevard;17040;
ocean park cafe;american;santa monica;3117 ocean park boulevard;ocean park boulevard;3117;
ocean star;seafood;monterey park;145 n. atlantic blvd.;n. atlantic blvd.;145;
original pantry bakery;diners;la;875 s. figueroa st. downtown;s. figueroa st.;875;
parkway grill;californian;pasadena;510 s. arroyo pkwy.;s. arroyo pkwy.;510;
pho hoa;vietnamese;chinatown;642 broadway;broadway;642;
pink\s famous chili dogs';hot dogs;la;709 n. la brea ave.;n. la brea ave.;709;
poquito mas;mexican;burbank;2635 w. olive ave.;w. olive ave.;2635;
r-23;japanese;los angeles;923 e. third st.;e. third st.;923;
rae\s';diners;santa monica;2901 pico boulevard;pico boulevard;2901;
rubin\s red hots';hot dogs;encino;15322 ventura boulevard;ventura boulevard;15322;
ruby\s (la)';diners;pasadena;45 s. fair oaks ave.;s. fair oaks ave.;45;
russell\s burgers';hamburgers;seal beach;1198 pch;pch;1198;
ruth\s chris steak house (los angeles)';steakhouses;beverly hills;224 s. beverly dr.;s. beverly dr.;224;
shiro;pacific new wave;pasadena;1505 mission st. s.;mission st. s.;1505;
sushi nozawa;japanese;studio city;11288 ventura boulevard;ventura boulevard;11288;
sweet lady jane;desserts;la;8360 melrose avenue;melrose avenue;8360;
taiko;noodle shops;brentwood;11677 san vicente boulevard;san vicente boulevard;11677;
tommy\s';hamburgers;la;2575 beverly boulevard;beverly boulevard;2575;
uncle bill\s pancake house';diners;manhattan beach;1305 highland avenue;highland avenue;1305;
water grill;seafood;los angeles;544 s. grand ave.;s. grand ave.;544;
zankou chicken;middle eastern;glendale;1415 e. colorado st.;e. colorado st.;1415;
afghan kebab house;afghan;new york city;764 ninth ave.;ninth ave.;764;
arcadia;american (new);new york city;21 e. 62nd st.;e. 62nd st.;21;
benny\s burritos';mexican;new york city;93 avenue a;avenue a;93;
cafe con leche;cuban;new york city;424 amsterdam avenue;amsterdam avenue;424;
corner bistro;hamburgers;new york city;331 w. fourth st.;w. fourth st.;331;
cucina della fontana;italian;new york city;368 bleecker st.;bleecker st.;368;
cucina di pesce;seafood;new york city;87 e. fourth st.;e. fourth st.;87;
darbar;indian;new york city;44 w. 56th st.;w. 56th st.;44;
ej\s luncheonette';diners;new york city;432 sixth ave.;sixth ave.;432;
edison cafe;diners;new york city;228 w. 47th st.;w. 47th st.;228;
elias corner;greek;queens;24-02 31st st.;31st st.;24-02;
good enough to eat;american;new york city;483 amsterdam avenue;amsterdam avenue;483;
gray\s papaya';hot dogs;new york city;2090 broadway;broadway;2090;
il mulino;italian;new york city;86 w. third st.;w. third st.;86;
jackson diner;indian;queens;37-03 74th st.;74th st.;37-03;
joe\s shanghai';chinese;queens;9 pell st.;pell st.;9;
john\s pizzeria';pizza;new york city;48 w. 65th st.;w. 65th st.;48;
kelley & ping;pan-asian;new york city;127 greene st.;greene st.;127;
kiev;ukrainian;new york city;117 second ave.;second ave.;117;
kuruma zushi;japanese;new york city;2nd fl.;;;
la caridad;cuban;new york city;2199 broadway;broadway;2199;
la grenouille;french (classic);new york city;3 e. 52nd st.;e. 52nd st.;3;
lemongrass grill;thai;brooklyn;61a seventh ave.;seventh ave.;61a;
lombardi\s';pizza;new york city;32 spring st.;spring st.;32;
marnie\s noodle shop';asian;new york city;466 hudson st.;hudson st.;466;
menchanko-tei;japanese;new york city;39 w. 55th st.;w. 55th st.;39;
mitali east-west;indian;new york city;296 bleecker st.;bleecker st.;296;
monsoon (ny);thai;new york city;435 amsterdam avenue;amsterdam avenue;435;
moustache;middle eastern;brooklyn;405 atlantic avenue;atlantic avenue;405;
nobu;japanese;new york city;105 hudson st.;hudson st.;105;
one if by land  tibs;continental;new york city;17 barrow st.;barrow st.;17;
oyster bar;seafood;new york city;lower level;;;
palm;steakhouses;new york city;837 second ave.;second ave.;837;
palm too;steakhouses;new york city;840 second ave.;second ave.;840;
patsy\s pizza';pizza;brooklyn;19 old fulton st.;old fulton st.;19;
peter luger steak house;steakhouses;brooklyn;178 broadway;broadway;178;
rose of india;indian;new york city;308 e. sixth st.;e. sixth st.;308;
sam\s noodle shop';chinese;new york city;411 third ave.;third ave.;411;
sarabeth\s';american;new york city;1295 madison avenue;madison avenue;1295;
sparks steak house;steakhouses;new york city;210 e. 46th st.;e. 46th st.;210;
stick to your ribs;bbq;queens;5-16 51st ave.;51st ave.;5-16;
sushisay;japanese;new york city;38 e. 51st st.;e. 51st st.;38;
sylvia\s';southern/soul;new york city;328 lenox avenue;lenox avenue;328;
szechuan hunan cottage;chinese;new york city;1588 york avenue;york avenue;1588;
szechuan kitchen;chinese;new york city;1460 first ave.;first ave.;1460;
teresa\s';polish;queens;80 montague st.;montague st.;80;
thai house cafe;thai;new york city;151 hudson st.;hudson st.;151;
thailand restaurant;thai;new york city;106 bayard st.;bayard st.;106;
veselka;ukrainian;new york city;144 second ave.;second ave.;144;
westside cottage;chinese;new york city;689 ninth ave.;ninth ave.;689;
windows on the world;eclectic;new york city;107th fl.;;;
wollensky\s grill';steakhouses;new york city;205 e. 49th st.;e. 49th st.;205;
yama;japanese;new york city;122 e. 17th st.;e. 17th st.;122;
zarela;mexican;new york city;953 second ave.;second ave.;953;
andre\s french restaurant';french (classic);las vegas;401 s. 6th st.;s. 6th st.;401;
buccaneer bay club;continental;las vegas;3300 las vegas blvd. s.;las vegas blvd. s.;3300;
buzio\s in the rio';seafood;las vegas;3700 w. flamingo rd.;w. flamingo rd.;3700;
emeril\s new orleans fish house';seafood;las vegas;3799 las vegas blvd. s.;las vegas blvd. s.;3799;
fiore rotisserie & grille;italian;las vegas;3700 w. flamingo rd.;w. flamingo rd.;3700;
hugo\s cellar';continental;las vegas;202 e. fremont st.;e. fremont st.;202;
madame ching\s';asian;las vegas;3300 las vegas blvd. s.;las vegas blvd. s.;3300;
mayflower cuisinier;chinese;las vegas;4750 w. sahara ave.;w. sahara ave.;4750;
michael\s (las vegas)';continental;las vegas;3595 las vegas blvd. s.;las vegas blvd. s.;3595;
monte carlo;french (new);las vegas;3145 las vegas blvd. s.;las vegas blvd. s.;3145;
moongate;chinese;las vegas;3400 las vegas blvd. s.;las vegas blvd. s.;3400;
morton\s of chicago (las vegas)';steakhouses;las vegas;3200 las vegas blvd. s.;las vegas blvd. s.;3200;
nicky blair\s';italian;las vegas;3925 paradise road;paradise road;3925;
piero\s restaurant';italian;las vegas;355 convention center dr.;convention center dr.;355;
spago (las vegas);californian;las vegas;3500 las vegas blvd. s.;las vegas blvd. s.;3500;
steakhouse  the;steakhouses;las vegas;128 e. fremont st.;e. fremont st.;128;
stefano\s';italian;las vegas;129 fremont st.;fremont st.;129;
sterling brunch;eclectic;las vegas;3645 las vegas blvd. s.;las vegas blvd. s.;3645;
tre visi;italian;las vegas;3799 las vegas blvd. s.;las vegas blvd. s.;3799;
103 west;continental;atlanta;103 w. paces ferry rd.;w. paces ferry rd.;103;
alon\s at the terrace';sandwiches;atlanta;659 peachtree st.;peachtree st.;659;
baker\s cajun cafe';cajun/creole;atlanta;1134 euclid avenue;euclid avenue;1134;
barbecue kitchen;bbq;atlanta;1437 virginia avenue;virginia avenue;1437;
bistro  the;french bistro;atlanta;56 e. andrews dr. nw;e. andrews dr. nw;56;
bobby & june\s kountry kitchen';southern/soul;atlanta;375 14th st.;14th st.;375;
bradshaw\s restaurant';southern/soul;atlanta;2911 s. pharr court;s. pharr court;2911;
brookhaven cafe;vegetarian;atlanta;4274 peachtree road;peachtree road;4274;
cafe sunflower;health food;atlanta;5975 roswell road;roswell road;5975;
canoe;american (new);atlanta;4199 paces ferry road;paces ferry road;4199;
carey\s';hamburgers;marietta;1021 cobb pkwy. se;cobb pkwy. se;1021;
carey\s corner';hamburgers;marietta;1215 powers ferry road;powers ferry road;1215;
chops;steakhouses;atlanta;70 w. paces ferry rd.;w. paces ferry rd.;70;
chopstix;chinese;atlanta;4279 roswell road;roswell road;4279;
deacon burton\s soulfood restaurant';southern/soul;atlanta;1029 edgewood ave. se;edgewood ave. se;1029;
eats;italian;atlanta;600 ponce de leon ave.;ponce de leon ave.;600;
flying biscuit  the;eclectic;atlanta;1655 mclendon avenue;mclendon avenue;1655;
frijoleros;tex-mex;atlanta;1031 peachtree st. ne;peachtree st. ne;1031;
greenwood\s';southern/soul;roswell;1087 green st.;green st.;1087;
harold\s barbecue';bbq;atlanta;171 mcdonough boulevard;mcdonough boulevard;171;
havana sandwich shop;cuban;atlanta;2905 buford highway;buford highway;2905;
house of chan;chinese;smyrna;2469 cobb parkway;cobb parkway;2469;
indian delights;indian;duluth;3675 satellite boulevard;satellite boulevard;3675;
java jive;coffee shops;atlanta;790 ponce de leon ave.;ponce de leon ave.;790;
johnny rockets (at);american;atlanta;2970 cobb parkway;cobb parkway;2970;
kalo\s coffee house';coffeehouses;decatur;1248 clairmont road;clairmont road;1248;
la fonda latina;spanish;atlanta;4427 roswell road;roswell road;4427;
lettuce souprise you (at);cafeterias;duluth;3525 mall boulevard;mall boulevard;3525;
majestic;diners;atlanta;1031 ponce de leon ave.;ponce de leon ave.;1031;
morton\s of chicago (atlanta)';steakhouses;atlanta;303 peachtree st. ne;peachtree st. ne;303;
my thai;thai;atlanta;1248 clairmont road;clairmont road;1248;
nava;southwestern;atlanta;3060 peachtree road;peachtree road;3060;
nuevo laredo cantina;mexican;atlanta;1495 chattahoochee ave. nw;chattahoochee ave. nw;1495;
original pancake house (at);american;atlanta;4330 peachtree road;peachtree road;4330;
palm  the (atlanta);steakhouses;atlanta;3391 peachtree rd. ne;peachtree rd. ne;3391;
rainbow restaurant;vegetarian;decatur;2118 n. decatur rd.;n. decatur rd.;2118;
riviera;mediterranean;atlanta;519 e. paces ferry rd.;e. paces ferry rd.;519;
silver skillet  the;coffee shops;atlanta;200 14th st. nw;14th st. nw;200;
soto;japanese;atlanta;3330 piedmont road;piedmont road;3330;
thelma\s kitchen';cafeterias;atlanta;764 marietta st. nw;marietta st. nw;764;
